date,symbol,short_volume,short_exempt_volume,total_volume,short_ratio_pct
2026-09-04,GME,1615933,8300,2955569,54.67
2026-09-04,GOOGL,3189262,5702,7990601,39.91
2026-09-04,GS,196793,13,419140,46.95
2026-09-04,HOOD,5415389,176305,10768602,50.29
2026-09-04,INTC,17161766,83172,40726689,42.14
2026-09-04,IWM,2595235,1130,4846722,53.55
2026-09-04,JPM,641010,508,1614612,39.7
2026-09-04,LLY,306467,250,684459,44.78
2026-09-04,META,1883943,17778,5256454,35.84
2026-09-04,MPC,376284,363,603702,62.33
2026-09-04,MSFT,2493993,9837,5583533,44.67
2026-09-04,MSTR,3410470,10846,9572193,35.63
2026-09-04,MU,6217859,33599,15261960,40.74
2026-09-04,NFLX,10791965,20239,17046434,63.31
2026-09-04,NKE,3192592,19593,10012105,31.89
2026-09-04,NVDA,20805033,194697,58857238,35.35
2026-09-04,ORCL,4616979,17148,11131025,41.48
2026-09-04,PLTR,5789232,51472,11471203,50.47
2026-09-04,PSX,468749,1022,903907,51.86
2026-09-04,PYPL,1904715,3161,4398830,43.3
2026-09-04,QQQ,6598322,12848,11050748,59.71
2026-09-04,RIVN,3325385,64318,6886410,48.29
2026-09-04,SHOP,1243816,178,2432496,51.13
2026-09-04,SMCI,12564216,200391,26054707,48.22
2026-09-04,SOFI,4601812,13927,14623064,31.47
2026-09-04,SPY,7188084,5151,12402982,57.95
2026-09-04,TSLA,18162410,58437,29948131,60.65
2026-09-04,TSM,1883858,6511,5565870,33.85
2026-09-04,UBER,2562089,16899,5632006,45.49
2026-09-04,UNH,314357,6,866856,36.26
2026-09-04,V,493012,204,1105005,44.62
2026-09-04,VLO,546264,661,873339,62.55
2026-09-04,WMT,2556007,6470,6212427,41.14
2026-09-04,XOM,1842879,1389,4318228,42.68
2026-09-08,AAPL,7299789,43203,12239703,59.64
2026-09-08,ADBE,1409237,917,2243411,62.82
2026-09-08,AMC,7720059,12190,15262617,50.58
2026-09-08,AMD,8054921,22601,13017035,61.88
2026-09-08,AMZN,4358919,16582,11279060,38.65
2026-09-08,ARM,1308796,214,2339805,55.94
2026-09-08,AVGO,3238628,39402,10955893,29.56
2026-09-08,BA,777224,25667,1971087,39.43
2026-09-08,BAC,3361855,6432,6233218,53.93
2026-09-08,COIN,1433115,2810,2790068,51.36
2026-09-08,COST,412516,1493,797484,51.73
2026-09-08,CRM,3409056,24865,5750424,59.28
2026-09-08,CVX,1629299,8891,2629379,61.97
2026-09-08,DIA,538139,1078,1495665,35.98
2026-09-08,DIS,976707,3839,2230689,43.78
2026-09-08,GME,2590718,7128,4166903,62.17
2026-09-08,GOOGL,2883832,16616,8796889,32.78
2026-09-08,GS,205837,35,342899,60.03
2026-09-08,HOOD,5326154,89035,11200394,47.55
2026-09-08,INTC,28076298,144724,67175431,41.8
2026-09-08,IWM,3094349,684,4570683,67.7
2026-09-08,JPM,1006736,738,1790826,56.22
2026-09-08,LLY,385294,428,882489,43.66
2026-09-08,META,2896812,6190,6688169,43.31
2026-09-08,MPC,570512,10,758068,75.26
2026-09-08,MSFT,2124977,6660,5823409,36.49
2026-09-08,MSTR,2179313,3517,6557763,33.23
2026-09-08,MU,6687502,21646,12736461,52.51
2026-09-08,NFLX,6086000,144011,13655520,44.57
2026-09-08,NKE,6604171,24750,13494056,48.94
2026-09-08,NVDA,19153469,141734,51690889,37.05
2026-09-08,ORCL,7566782,6839,16642351,45.47
2026-09-08,PLTR,5668225,9804,8988016,63.06
2026-09-08,PSX,467231,2214,759597,61.51
2026-09-08,PYPL,1903350,1921,3482731,54.65
2026-09-08,QQQ,6449669,15683,10011204,64.42
2026-09-08,RIVN,3361079,21726,8234006,40.82
2026-09-08,SHOP,2287144,282,5709988,40.06
2026-09-08,SMCI,11204213,55452,21178040,52.9
2026-09-08,SOFI,6376799,17892,17485751,36.47
2026-09-08,SPY,6736109,3102,12031468,55.99
2026-09-08,TSLA,10331362,68968,23969997,43.1
2026-09-08,TSM,2289510,3893,5432146,42.15
2026-09-08,UBER,3783656,8779,9979288,37.92
2026-09-08,UNH,676559,1940,1541478,43.89
2026-09-08,V,946370,5476,1810528,52.27
2026-09-08,VLO,766171,818,1144303,66.96
2026-09-08,WMT,3145306,8680,6834903,46.02
2026-09-08,XOM,1405591,22627,4302721,32.67
2026-09-09,AAPL,18882373,43574,29846116,63.27
2026-09-09,ADBE,917177,1504,1364916,67.2
2026-09-09,AMC,5051506,13703,12371916,40.83
2026-09-09,AMD,6027475,13886,10759960,56.02
2026-09-09,AMZN,3733231,12666,13227995,28.22
2026-09-09,ARM,785304,1400,1556055,50.47
2026-09-09,AVGO,2720209,16323,8389224,32.43
2026-09-09,BA,643026,1029,1845910,34.84
2026-09-09,BAC,3799504,7813,8935788,42.52
2026-09-09,COIN,1355326,732,2765576,49.01
2026-09-09,COST,343223,673,814957,42.12
2026-09-09,CRM,2065440,5031,3464316,59.62
2026-09-09,CVX,1593713,8323,3458757,46.08
2026-09-09,DIA,637131,348,1498100,42.53
2026-09-09,DIS,987586,6066,2367806,41.71
2026-09-09,GME,3132491,23325,7175013,43.66
2026-09-09,GOOGL,3634148,16428,11521843,31.54
2026-09-09,GS,263943,1066,538755,48.99
2026-09-09,HOOD,4102229,29229,8791351,46.66
2026-09-09,INTC,21955096,91830,48898179,44.9
2026-09-09,IWM,5300070,3929,7723823,68.62
2026-09-09,JPM,1042257,4663,2027104,51.42
2026-09-09,LLY,328577,786,713224,46.07
2026-09-09,META,5652111,51187,14568521,38.8
2026-09-09,MPC,494282,15,757926,65.22
2026-09-09,MSFT,1973018,13880,4914334,40.15
2026-09-09,MSTR,2611955,11553,7151069,36.53
2026-09-09,MU,4855754,38624,12269036,39.58
2026-09-09,NFLX,3676784,32351,8556549,42.97
2026-09-09,NKE,10560952,46383,18841686,56.05
2026-09-09,NVDA,14106872,100515,35128761,40.16
2026-09-09,ORCL,5019542,4229,11920770,42.11
2026-09-09,PLTR,5878697,18001,8984141,65.43
2026-09-09,PSX,527603,2423,826833,63.81
2026-09-09,PYPL,1611112,1811,3152655,51.1
2026-09-09,QQQ,5283901,24035,8641906,61.14
2026-09-09,RIVN,3784534,16670,8227709,46.0
2026-09-09,SHOP,2026301,1372,6717643,30.16
2026-09-09,SMCI,7121897,30861,14469006,49.22
2026-09-09,SOFI,8829814,60595,20389599,43.31
2026-09-09,SPY,6595991,19792,11193227,58.93
2026-09-09,TSLA,8326199,40067,16574660,50.23
2026-09-09,TSM,1551866,4104,3156177,49.17
2026-09-09,UBER,2609127,8545,8797071,29.66
2026-09-09,UNH,1632011,6026,3182088,51.29
2026-09-09,V,828674,1477,1668159,49.68
2026-09-09,VLO,712355,1167,1104137,64.52
2026-09-09,WMT,1811918,9852,4678819,38.73
2026-09-09,XOM,1560391,13319,4574792,34.11
2026-09-10,AAPL,18999803,86379,32244648,58.92
2026-09-10,ADBE,2072714,592,3168290,65.42
2026-09-10,AMC,4853855,1006,11350744,42.76
2026-09-10,AMD,4702550,14184,6962462,67.54
2026-09-10,AMZN,2700840,15991,9409580,28.7
2026-09-10,ARM,798135,66,1419949,56.21
2026-09-10,AVGO,1806927,2680,6135308,29.45
2026-09-10,BA,603984,2123,1905217,31.7
